"","Original_name"
"1","??"
"2","0"
"3","Acalypha rhomboidea"
"4","Acer negundo"
"5","Acer nigrum"
"6","Acer platanoides"
"7","Acer rubrum"
"8","Acer saccharinum"
"9","Acer saccharum"
"10","Acer sp."
"11","Acer species"
"12","Acers saccharum"
"13","Achillea millefolium"
"14","Actaea pachypoda"
"15","Actinomeris alternifolia"
"16","Aesculus glabra"
"17","Aesculus sp."
"18","Aesculus species"
"19","Ageratina altissima"
"20","Agostis alba"
"21","AGRALT"
"22","Agrimonia gryposepala"
"23","Agrimonia pubescens"
"24","Agrimonia sp."
"25","Agrimonia Sp."
"26","Agrimonia species"
"27","Agrononia sp."
"28","Agropyron repens"
"29","Agrostis alba"
"30","Agrostis species"
"31","Alisma subcordatum"
"32","ALLBUR"
"33","Alliaria petiolata"
"34","Allium burdickii"
"35","Allium canadense"
"36","Allium cernuum"
"37","Allium sp."
"38","Allium stellatum"
"39","Allium tricoccum"
"40","Allium vineale"
"41","Alnus species"
"42","Ambrosia artemisiifolia"
"43","Ambrosia artemisiifolia elatior"
"44","Ambrosia trifida"
"45","AMOSPA"
"46","Amphicarpaea bracteata"
"47","Andropogon gerardii"
"48","Anemone canadensis"
"49","Anemone caroliniana"
"50","Anemone quinquefolia"
"51","Anemone species"
"52","Anemone virginiana"
"53","Anemonella thalictroides"
"54","Apocynum cannabinum"
"55","Apocynum sibiricum"
"56","Aquilegia canadensis"
"57","Arctium minus"
"58","Arenaria lateriflora"
"59","Arisaema dracontium"
"60","Arisaema triphyllum"
"61","Aruncus dioicus pubescens"
"62","Asarum canadense"
"63","ASCGLA"
"64","Asclepias meadii"
"65","Asclepias syriaca"
"66","Asclepias verticillata"
"67","Asimina species"
"68","Asimina triloba"
"69","Asplenium species"
"70","Aster ericoides"
"71","Aster lateriflorus"
"72","Aster pilosus"
"73","Aster sagittifolius"
"74","Aster sagittifolius drummondii"
"75","Aster shortii"
"76","Aster sp.?"
"77","Aster species"
"78","B??"
"79","Barbarea vulgaris"
"80","Berberis thunbergii"
"81","Bidens cernua"
"82","Bidens frondosa"
"83","Bidens sp."
"84","Bidens species"
"85","Boehmeria cylindrica"
"86","Brassica sp."
"87","Brassicaceae family"
"88","Bromis inermis"
"89","Bromus inermis"
"90","Bromus sp."
"91","Cacalia atriplicifolia"
"92","Calaminta vulgaris"
"93","Calluna vulgaris"
"94","Camassia scilloides"
"95","Cammassia?"
"96","Campanula americana"
"97","Cardamine canadensis"
"98","Cardamine concatenata"
"99","Cardamine douglassii"
"100","Carex albursina"
"101","Carex blanda"
"102","Carex gravida"
"103","Carex hirtifolia"
"104","Carex jamesii"
"105","Carex pensylvanica"
"106","Carex rosea"
"107","Carex sp."
"108","Carex sp. #1"
"109","Carex sp. #2"
"110","Carex sp. #3"
"111","Carex sparganioides"
"112","Carex species"
"113","Carex tribuloides"
"114","Carex trichocarpa"
"115","Carex vulpinoidea"
"116","Carya cordiformis"
"117","Carya ovata"
"118","Carya sp."
"119","Carya species"
"120","Caulophyllum thalictroides"
"121","Celastrus orbiculatus"
"122","Celastrus scandens"
"123","Celtis occidentalis"
"124","Cerastium sp."
"125","Cerastrium sp."
"126","Cercis canadensis"
"127","Chenopodium album"
"128","Chenopodium sp."
"129","Chrysanthemum leucanthemum"
"130","Chrysanthemum leucanthemum pinnatifidum"
"131","Circaea lutetiana"
"132","Circaea lutetiana canadensis"
"133","Cirsium arvense"
"134","Cirsium sp."
"135","Cirsium vulgare"
"136","Cladastris kentukea"
"137","Cladrastis lutea"
"138","Claytonia virginica"
"139","Clematis virginiana"
"140","Composite"
"141","Composite sp."
"142","Convolvulus arvensis"
"143","Convolvulus sepium"
"144","Convolvulus sp."
"145","Convolvulus species"
"146","Convovulus sp."
"147","Coreopsis tripteris"
"148","Cornus racemosa"
"149","Cornus sp."
"150","Coronilla varia"
"151","Crataegus sp."
"152","Crataegus species"
"153","Cryptotaenia canadensis"
"154","Cystopteris protrusa"
"155","Dactylis glomerata"
"156","Danthonia spicata"
"157","Daucus carota"
"158","Desmodium species"
"159","Dicentra cucullaria"
"160","Dioscorea villosa"
"161","Dipsacus fullonum"
"162","Dipsacus laciniatus"
"163","Dipsacus sylvestris"
"164","Dodecatheon meadia"
"165","Duchesnea indica"
"166","Ellisia nyctelea"
"167","Elmus hystrix"
"168","Elymus hystrix"
"169","Elymus sp."
"170","Elymus villosus"
"171","Elymus virginicus"
"172","Enemion biternatum"
"173","Epilobium coloratum"
"174","Equisetum arvense"
"175","Erechtites hieracifolia"
"176","Erigeron annuus"
"177","Erigeron canadensis"
"178","Erigeron philadelphicus"
"179","Erigeron sp."
"180","Erigeron strigosus"
"181","Erythronium albidum"
"182","Euonymus alatus"
"183","Euonymus atropurpureus"
"184","Euonymus europaeus"
"185","Euonymus sp."
"186","Euonymus species"
"187","Eupatorium purpureum"
"188","Eupatorium rugosum"
"189","Eupatorium sp."
"190","Festuca elatior"
"191","Festuca species"
"192","Floerkea proserpinacoides"
"193","Forb species"
"194","Fragaria vesca americana"
"195","Fragaria virginiana"
"196","Fraxinus"
"197","Fraxinus - Collections"
"198","Fraxinus americana"
"199","Fraxinus pennsylvanica"
"200","Fraxinus pennsylvanica subintegerrima"
"201","Fraxinus quadrangulata"
"202","Fraxinus seedling"
"203","Fraxinus sp."
"204","Fraxinus species"
"205","Galium aparine"
"206","Galium asprellum"
"207","Galium circaezans"
"208","Galium obtusum"
"209","Galium sp."
"210","Galium species"
"211","Galium triflorum"
"212","Geranium maculatum"
"213","Germaniun maculatum"
"214","Geum canadense"
"215","Geum sp."
"216","Glechoma hederacea"
"217","Gleditsia triacanthos"
"218","Glyceria striata"
"219","Grass species"
"220","Gymnocladus dioica"
"221","Gymnocladus dioicus"
"222","Hackelia virginiana"
"223","Hairy weed"
"224","Helenium autumnale"
"225","Helianthus divaricatus"
"226","Helianthus grosseserratus"
"227","Helianthus sp."
"228","Helianthus species"
"229","Helianthus strumosus"
"230","Hepatica acutiloba"
"231","Hesperis matronalis"
"232","Hickory species"
"233","Hydrastis canadensis"
"234","Hydrophyllum appendiculatum"
"235","Hydrophyllum sp."
"236","Hydrophyllum virginianum"
"237","Hystrix patula"
"238","Impatiens capensis"
"239","Impatiens pallida"
"240","Impatiens sp."
"241","Impatiens species"
"242","Impatients sp."
"243","Isopyrum biternatum"
"244","Juglans cinerea"
"245","Juglans nigra"
"246","Juncus dudleyi"
"247","Juncus sp."
"248","Juniperus virginiana"
"249","Lactuca canadensis"
"250","Lactuca floridana"
"251","Lactuca serriola"
"252","Lactuca sp."
"253","Lactuca species"
"254","Laportea canadensis"
"255","Leersia oryzoides"
"256","Leersia virginica"
"257","Ligusticum sp."
"258","Ligustrum species"
"259","Liriodendron tulipifera"
"260","lonicera maackii"
"261","Lonicera maackii"
"262","Lonicera prolifera"
"263","Lonicera sp."
"264","Lonicera species"
"265","Lonicera tatarica"
"266","Lycopus americanus"
"267","Lysimachia ciliata"
"268","Lythrum alatum"
"269","Maclura pomifera"
"270","Maianthemum racemosum"
"271","MAIRAC"
"272","Malus sieboldii"
"273","Malus sp."
"274","Malus species"
"275","Melilotus alba"
"276","Melilotus officinalis"
"277","Menispermum canadense"
"278","Menispermum sp."
"279","Mertensia virginica"
"280","Mint species"
"281","Monarda fistulosa"
"282","Morus alba"
"283","Morus rubra"
"284","Morus sp."
"285","No data"
"286","No trees"
"287","No Trees"
"288","NONE"
"289","Onoclea sensibilis"
"290","Osm. Sp."
"291","Osmorhiza claytoniana"
"292","Osmorhiza claytonii"
"293","Osmorhiza longistylis"
"294","Osmorhiza sp."
"295","Osmunda claytoniana"
"296","Ostrya virginiana"
"297","Oxalis europaea"
"298","Oxalis sp."
"299","Oxalis stricta"
"300","Panicum implicatum"
"301","Panicum species"
"302","Panicum spretum"
"303","Parthenocissus quinquefolia"
"304","Parthenocissus sp."
"305","Pastinaca sativa"
"306","Persicaria coccinea"
"307","Phalaris arundinacea"
"308","Phellodendron amurense"
"309","Phleum pratense"
"310","Phlox divaricata"
"311","PHRCAN"
"312","Phryma leptostachya"
"313","Physalis species"
"314","Physalis virginiana"
"315","Phytolacca americana"
"316","Picea abies"
"317","Picea species"
"318","Pilea pumila"
"319","Pinus banksiana"
"320","Pinus resinosa"
"321","Pinus sp."
"322","Plantago lanceolata"
"323","Plantago rugelii"
"324","Poa compressa"
"325","Poa pratensis"
"326","Poa sp."
"327","Poa species"
"328","Podophyllum peltatum"
"329","POLBIF"
"330","Polemonium reptans"
"331","Polgonatum biflorum"
"332","Polygonatum biflorum"
"333","Polygonatum canaliculatum"
"334","Polygonum biflorum"
"335","Polygonum lapathifolium"
"336","Polygonum punctatum"
"337","Polygonum scandens"
"338","Polygonum sp."
"339","Polygonum species"
"340","Polygonum virginianum"
"341","Polygonum. Sp."
"342","Polypodium virginianum"
"343","Populus alba"
"344","Populus deltoides"
"345","Populus grandidentata"
"346","Populus species"
"347","Potentilla norvegica"
"348","Potentilla recta"
"349","Potentilla simplex"
"350","Prenanthes alba"
"351","Prenanthes species"
"352","Prunella vulgaris"
"353","Prunella vulgaris lanceolata"
"354","Prunus americana"
"355","Prunus serotina"
"356","Prunus species"
"357","Prunus virginiana"
"358","Pruser serotina"
"359","Pseudotsuga menziesii"
"360","Ptelea trifoliata"
"361","Quercuas alba"
"362","Quercus alb"
"363","Quercus alba"
"364","Quercus bicolor"
"365","Quercus coccinea"
"366","Quercus ellipsoidalis"
"367","Quercus macrocarpa"
"368","Quercus palustris"
"369","Quercus rubra"
"370","Quercus sp."
"371","Quercus species"
"372","Ranunculus abortivus"
"373","Ranunculus ficaria"
"374","Ranunculus hispidus"
"375","Ranunculus hispidus v. nitidus"
"376","Ranunculus pensylvanicus"
"377","Ranunculus septentrionalis"
"378","Ranunculus sp."
"379","Ranunculus species"
"380","Ratibida pinnata"
"381","Rhamnus carthartica"
"382","Rhamnus cathartica"
"383","Rhamnus frangula"
"384","Rhamnus species"
"385","Rhus glabra"
"386","Rhus radicans"
"387","Rhus typhina"
"388","Ribes missouriense"
"389","Ribes sp."
"390","Ribes species"
"391","Robinia pseudoacacia"
"392","Robinia pseudocacia"
"393","Rosa carolina"
"394","Rosa multiflora"
"395","Rosa sp."
"396","Rosa species"
"397","rttf"
"398","Rubes idaeus strigosus"
"399","Rubus allegheniensis"
"400","Rubus hispidus"
"401","Rubus idaeus strigosus"
"402","Rubus occidentalis"
"403","Rubus pensilvanicus"
"404","Rubus sp."
"405","Rubus species"
"406","Rudbeckia hirta"
"407","Rumex crispus"
"408","Rumex orbiculatus"
"409","Rumex sp."
"410","Salix interior"
"411","Salix nigra"
"412","Salix sp."
"413","Sambucus canadensis"
"414","Sanguinaria canadensis"
"415","Sanicula gregaria"
"416","Sanicula sp."
"417","Schizachyrium scoparium"
"418","Scirpus atrovirens"
"419","Scirpus species"
"420","Scrophularia species"
"421","Scutellaria lateriflora"
"422","Sedge species"
"423","Seedling"
"424","Seedlings"
"425","Setaria species"
"426","Shrub species"
"427","Silphium integrifolium"
"428","Silphium laciniatum"
"429","Sium suave"
"430","Smilacina racemosa"
"431","Smilacina species"
"432","Smilax illinoensis"
"433","Smilax lasioneura"
"434","Smilax sp."
"435","Smilax species"
"436","Smilax tamnoides hispida"
"437","Solanum dulcamara"
"438","Solanum species"
"439","Solidago altissima"
"440","Solidago canadensis"
"441","Solidago flexicaulis"
"442","Solidago gigantea"
"443","Solidago graminifolia"
"444","Solidago sp."
"445","Solidago species"
"446","Solidago tenuifolia"
"447","Solidago ulmifolia"
"448","Solidago. Sp."
"449","Sonchus arvensis"
"450","Sonchus asper"
"451","Sonchus sp."
"452","Sonchus species"
"453","Sorghastrum nutans"
"454","Sparganium eurycarpum"
"455","Staphylea trifolia"
"456","Stylophorum diphyllum"
"457","SYMLAT"
"458","Symphyothrichum"
"459","Symphyotrichim lateriflorus"
"460","Symphyotrichum drummondii"
"461","Symphyotrichum lanceolatum"
"462","Symphyotrichum lateriflorum"
"463","Symphyotrichum novae-angliae"
"464","Symphyotrichum pilosum"
"465","Symphyotrichum shortii"
"466","Symphyotrichum sp."
"467","Taraxacum officinale"
"468","Teucrium canadense"
"469","Thalictrum dioicum"
"470","Thelypteris palustris"
"471","Tilia americana"
"472","Toralos sp."
"473","Torilis japonica"
"474","Toxicodendron radicans"
"475","Toxicondendron radicans"
"476","Tragopogon dubius"
"477","Tragopogon sp."
"478","Tree species"
"479","Trifolium hybridum"
"480","Trifolium pratense"
"481","Trifolium repens"
"482","Trillium grandiflorum"
"483","Trillium recurvatum"
"484","Typha angustifolia"
"485","Typha latifolia"
"486","Ulmus americana"
"487","Ulmus pumila"
"488","Ulmus rubra"
"489","Ulmus sp."
"490","Ulmus species"
"491","Unidentified"
"492","Unidentified composite"
"493","Unidentified forb"
"494","Unidentified grass"
"495","Unidentified legume"
"496","Unidentified seedling"
"497","Unidentified shrub"
"498","Unidentified sp."
"499","Unidentified species"
"500","Unidentified species-3-leaved"
"501","Unidentified species-milky sap"
"502","Unidentified species-single leaf"
"503","Unidentified vine"
"504","Unk. composite"
"505","Unk. Composite"
"506","Unk. Forb"
"507","Unk. grass"
"508","Unk. Grass"
"509","Unk. seedling"
"510","Unk. Seedling"
"511","Unk. Seedlings"
"512","Unk. Shrub"
"513","Unk. Snag"
"514","Unk. Sp."
"515","Unk. Vine"
"516","Unknown"
"517","Urtica dioica"
"518","Uvularia grandiflora"
"519","Uvularia sessilifolia"
"520","Verbesina alternifolia"
"521","Vernonia altissima"
"522","Veronica sp."
"523","Veronicastrum virginicum"
"524","Viburnum dentatum"
"525","Viburnum lentago"
"526","Viburnum opulus"
"527","Viburnum prunifolium"
"528","Viburnum rafinesquianum"
"529","Viburnum recognitum"
"530","Viburnum sp."
"531","Viburnum species"
"532","Viburnumspecies"
"533","Vine seedling"
"534","Vine species"
"535","Viola missouriensis"
"536","Viola pubescens"
"537","Viola sororia"
"538","Viola sp."
"539","Viola species"
"540","Vitis riparia"
"541","Vitis sp."
"542","Weather station"
