"","Date","Sampler","Plot.ID.Number","X6.Letter.Code","Species_Name","Category..Seedling.S...Sapling.U...Shrub.SH.","Sapling.Category...5cm.or...5cm","X..Stems","NOTES","Sample..Y.N.","Accepted_name"
"8","5/3/18","JLL, PB","A117","ACESAU","Acer saccharum","S","0",3,"","","Acer saccharum"
"13","5/2/18","BS, WO","A131","FRAQUA","Fraxinus quadrangulata","U","<5",1,"","","Fraxinus quadrangulata"
"26","5/3/18","JLL, PB","AA114","ACESAU","Acer saccharum","S","0",2,"maybe dead due to fire","","Acer saccharum"
"28","5/3/18","JLL, PB","AA116","ACESAU","Acer saccharum","S","0",3,"","","Acer saccharum"
"29","5/3/18","PB, JLL","AA118","ACESAU","Acer saccharum","S","0",10,"","","Acer saccharum"
"32","5/3/18","WO, BS","AA129","ACESAU","Acer saccharum","U",">5",1,"","","Acer saccharum"
"33","5/3/18","WO, BS","AA129","ACESAU","Acer saccharum","S","0",1,"","","Acer saccharum"
"43","5/1/18","WO, SZ","AY127","QUEALB","Quercus alba","S","0",14,"","","Quercus alba"
"45","5/1/18","WO, SZ","AY127","PHEAMU","Phellodendron amurense","S","0",7,"","","Phellodendron amurense"
"60","5/3/18","JLL, PB","BB116","ACESAU","Acer saccharum","S","0",2,"part of cut stumps","","Acer saccharum"
"63","5/3/18","PB, JLL","BB118","ACESAU","Acer saccharum","S","0",5,"","","Acer saccharum"
"64","5/3/18","PB, JLL","BB121","ACESAU","Acer saccharum","S","0",17,"","","Acer saccharum"
"79","5/1/18","WO, SZ","C123","RUBPEN","Rubus pensilvanicus","SH","0",4,"","","Rubus pensilvanicus"
"82","5/4/18","JLL, PB","CC109","ACESAU","Acer saccharum","S","0",1,"","","Acer saccharum"
"86","5/9/18","BS, SML","CC144","Morus sp.","Morus sp.","S","0",1,"","","Morus"
"95","5/1/18","WO, SZ","D123","PHEAMU","Phellodendron amurense","U","0.5",2,"","","Phellodendron amurense"
"100","5/3/18","PB, JLL","DD114","ACESAU","Acer saccharum","U","<5",2,"","","Acer saccharum"
"103","5/18/18","CB, PB, WO","DD130","Malus sp.","Malus sp.","S","0",1,"","","Malus"
"113","5/4/18","JLL, PB","EE106","ACESAU","Acer saccharum","S","0",1,"","","Acer saccharum"
"125","5/18/18","CB, PB, WO","EE128","ACESAU","Acer saccharum","S","0",2,"","","Acer saccharum"
"130","5/10/18","BS, SL","EE140","ACESAU","Acer saccharum","S","0",1,"","","Acer saccharum"
"141","5/2/18","JLL","F134","ACESAU","Acer saccharum","U","<5",1,"","","Acer saccharum"
"156","5/4/18","BS, WO","GG121","ACESAU","Acer saccharum","U","<5",1,"","","Acer saccharum"
"157","5/4/18","BS, WO","GG121","ACESAU","Acer saccharum","U",">5",1,"","","Acer saccharum"
"166","5/7/18","PB, SZ","GG92","ACESAU","Acer saccharum","U","<5",1,"","","Acer saccharum"
"186","5/15/18","CB, PB","HB131","Cornus sp.","Cornus sp.","SH","0",1,"likely CORSTO","","Cornus"
"210","5/16/18","CB, WO","HC144","Vitis sp.","Vitis sp.","SH","0",1,"grapevine","","Vitis"
"221","5/17/18","CB","HE136","Cornus sp.","Cornus sp.","S","0",1,"dogwood","","Cornus"
"223","5/2/18","CB","HH103","SMITAM","Smilax tamnoides hispida","SH","0",1,"bristly greenb","","Smilax tamnoides"
"237","5/8/18","MO, PB","HH85","ACESAU","Acer saccharum","U","<5",3,"","","Acer saccharum"
"240","5/8/18","MO, PB","HH87","ACESAU","Acer saccharum","S","0",5,"","","Acer saccharum"
"241","5/8/18","MO, PB","HH87","ACESAU","Acer saccharum","U","<5",1,"","","Acer saccharum"
"246","4/30/18","CB, PB","I107","ACESAU","Acer saccharum","S","0",1,"","","Acer saccharum"
"247","4/30/18","CB, PB","I107","ACESAU","Acer saccharum","U","<5",1,"","","Acer saccharum"
"252","4/30/18","CB, PB","I109","Acer sp.","Acer sp.","U","0-5",1,"","","Acer"
"263","5/4/18","BS, WO","II122","ACESAU","Acer saccharum","S","0",1,"","","Acer saccharum"
"271","5/15/18","SZ, WO","II130","MALSIE","Malus sieboldii","S","0",2,"","","Malus sieboldii"
"276","5/10/18","PB, WO","II136","ACESAU","Acer saccharum","U",">5",1,"","","Acer saccharum"
"280","5/7/18","PB, SZ","II90","ACESAU","Acer saccharum","U","<5",12,"","","Acer saccharum"
"297","5/8/18","MO, PB","JJ93","ACESAU","Acer saccharum","U",">5",1,"","","Acer saccharum"
"298","4/30/18","CB, PB","K107","ACESAU","Acer saccharum","U","<5",0,"","ACENIG","Acer saccharum"
"301","4/30/18","CB, PB","K109","ACESAU","Acer saccharum","U","<5",2,"","","Acer saccharum"
"303","4/30/18","CB, PB","K109","EUOEUR","Euonymus europaeus","U","<5",1,"","","Euonymus europaeus"
"317","5/1/18","CB, PB","L111","ACESAU","Acer saccharum","S","0",1,"","","Acer saccharum"
"319","5/1/18","CB, PB","L111","ACESAU","Acer saccharum","S","0",3,"black maple?","","Acer saccharum"
"320","5/1/18","WS, JLL","L120","ACESAU","Acer saccharum","U","<5",10,"","","Acer saccharum"
"334","5/4/18","BS, WO","LL119","ACESAU","Acer saccharum","S","0",2,"","","Acer saccharum"
"350","5/16/18","BS, WS","LL141","ACESAU","Acer saccharum","S","0",3,"","","Acer saccharum"
"351","5/8/18","MO, PB","LL90","JUGNIG","Juglans nigra","U","<5",1,"","","Juglans nigra"
"359","4/30/18","WS, JLL","N113","ACESAU","Acer saccharum","U","<5",1,"black maple","","Acer saccharum"
"362","5/1/18","WS, JLL","N116","ACESAU","Acer saccharum","S","0",1,"","","Acer saccharum"
"365","5/2/18","JLL","N128","ACESAU","Acer saccharum","S","0",2,"","","Acer saccharum"
"388","5/1/18","CB, PB","O109","ACESAU","Acer saccharum","S","0",1,"","","Acer saccharum"
"389","4/30/18","WS, JLL","O112","ACESAU","Acer saccharum","U","<5",2,"","","Acer saccharum"
"392","5/2/18","WS, JLL","O134","ACESAU","Acer saccharum","S","<5",14,"","","Acer saccharum"
"398","5/4/18","JLL, PB","OO116","ACESAU","Acer saccharum","S","0",3,"","","Acer saccharum"
"406","5/2/18","WS, JLL","P138","JUGNIG","Juglans nigra","S","0",1,"","","Juglans nigra"
"417","5/16/18","BS, WS","PP143","ACESAU","Acer saccharum","S","0",1,"","","Acer saccharum"
"420","5/1/18","CB, PB","Q110","ACESAU","Acer saccharum","S","0",1,"","","Acer saccharum"
"424","5/2/18","WS, JLL","Q132","ACESAU","Acer saccharum","S","<5",5,"","","Acer saccharum"
"425","5/2/18","WS, JLL","Q135","ACESAU","Acer saccharum","S","<5",7,"","","Acer saccharum"
"428","5/9/18","JLL, WS","QQ131","ACESAU","Acer saccharum","U",">5",1,"","","Acer saccharum"
"434","5/16/18","BS, WS","QQ139","ACESAU","Acer saccharum","S","0",40,"","","Acer saccharum"
"439","5/1/18","CB, PB","R109","ACESAU","Acer saccharum","U","<5",3,"","","Acer saccharum"
"460","5/17/18","BS, WS","RR139","ACESAU","Acer saccharum","S","0",13,"","","Acer saccharum"
"464","5/16/18","BS, WS","RR142","ACESAU","Acer saccharum","U","<5",1,"","","Acer saccharum"
"467","5/2/18","CB, PB","S111","ACESAU","Acer saccharum","U",">5",1,"","","Acer saccharum"
"468","5/1/18","WS, JLL","S126","ACESAU","Acer saccharum","S ","0",1,"","","Acer saccharum"
"469","5/2/18","WS, JLL","S134","ACESAU","Acer saccharum","S","<5",8,"","","Acer saccharum"
"472","5/8/18","JLL, SML","S72","Aesculus sp.","Aesculus sp.","S","0",1,"","","Aesculus"
"496","5/8/18","JLL, SML","T75","ACESAU","Acer saccharum","S","0",1,"","","Acer saccharum"
"506","5/10/18","PB, WO","TT132","ACESAU","Acer saccharum","U",">5",1,"","","Acer saccharum"
"507","5/10/18","PB, WO","TT132","ACESAU","Acer saccharum","U","<5",1,"","","Acer saccharum"
"509","5/10/18","PB, WO","TT133","Malus sp.","Malus sp.","U",">5",1,"","","Malus"
"521","5/1/18","CB, PB","U107","ACESAU","Acer saccharum","U","<5",10,"","","Acer saccharum"
"524","5/2/18","CB, PB","U110","ACESAU","Acer saccharum","S","0",4,"","","Acer saccharum"
"540","5/11/18","PB","UU129","JUGNIG","Juglans nigra","U",">5",1,"","","Juglans nigra"
"542","5/11/18","PB","UU132","ACESAU","Acer saccharum","U",">5",1,"","","Acer saccharum"
"553","5/7/18","SML, WO","V95","JUGNIG","Juglans nigra","S","0",1,"","","Juglans nigra"
"561","5/2/18","CB, PB","W112","ACESAU","Acer saccharum","S","0",1,"resprout","","Acer saccharum"
"562","5/2/18","BS, WO","W128","ACESAU","Acer saccharum","S","0",89,"","","Acer saccharum"
"563","5/2/18","BS, WO","W128","PRUSER","Pruser serotina","S","0",1,"","","Pruser serotina"
"572","5/8/18","JLL, SML","W87","Aesculus sp.","Aesculus sp.","S","0",2,"","","Aesculus"
"578","5/7/18","SML, WO","W95","QUEALB","Quercus alba","S","0",9,"","","Quercus alba"
"590","5/3/18","PB, JLL","X118","ACESAU","Acer saccharum","S","0",1,"","","Acer saccharum"
"599","5/8/18","JLL, SML","X76","ACESAU","Acer saccharum","U","<5",1,"","","Acer saccharum"
"615","5/3/18","WO, BS","Y121","ACESAU","Acer saccharum","U","<5",1,"","","Acer saccharum"
"616","5/3/18","WO, BS","Y121","ACESAU","Acer saccharum","S","0",6,"","","Acer saccharum"
"619","5/18/18","CB, PB, WO","Y135","ACESAU","Acer saccharum","S","0",1,"","","Acer saccharum"
"637","5/3/18","WO, BS","Z122","ACESAU","Acer saccharum","S","0",11,"","","Acer saccharum"
"640","5/3/18","WO, BS","Z128","ACESAU","Acer saccharum","U",">5",2,"","","Acer saccharum"
