"","Var1","Freq"
"1","U95",12
"2","G126",10
"3","V111",10
"4","AA118",9
"5","I109",9
"6","W112",9
"7","H115",8
"8","Y112",8
"9","HH130",7
"10","I116",7
"11","LL90",7
"12","V95",7
"13","Y96",7
"14","A116",6
"15","GG121",6
"16","HH90",6
"17","I124",6
"18","II142",6
"19","J121",6
"20","JJ87",6
"21","JJ93",6
"22","N116",6
"23","U110",6
"24","W87",6
"25","A126",5
"26","A135",5
"27","AA114",5
"28","AA95",5
"29","BB116",5
"30","BB121",5
"31","CC96",5
"32","F118",5
"33","G109",5
"34","HA127",5
"35","HH85",5
"36","HH87",5
"37","I107",5
"38","I117",5
"39","II122",5
"40","II90",5
"41","K105",5
"42","K107",5
"43","P124",5
"44","Q110",5
"45","QQ131",5
"46","R113",5
"47","R116",5
"48","S111",5
"49","U107",5
"50","W128",5
"51","W72",5
"52","WW140",5
"53","Y115",5
"54","Y135",5
"55","AA117",4
"56","AA125",4
"57","AY127",4
"58","B109",4
"59","C120",4
"60","C123",4
"61","C127",4
"62","CC109",4
"63","CC110",4
"64","DD145",4
"65","GG92",4
"66","GG94",4
"67","HH93",4
"68","J110",4
"69","JJ121",4
"70","K115",4
"71","K116",4
"72","KK121",4
"73","L111",4
"74","LL141",4
"75","O109",4
"76","O112",4
"77","OO146",4
"78","Q132",4
"79","R86",4
"80","RR139",4
"81","RR142",4
"82","T127",4
"83","T70",4
"84","T89",4
"85","TT132",4
"86","U111",4
"87","V113",4
"88","V114",4
"89","V84",4
"90","X143",4
"91","XX134",4
"92","Y128",4
"93","Y130",4
"94","YY140",4
"95","Z132",4
"96","Z76",4
"97","A124",3
"98","AA129",3
"99","B127",3
"100","B128",3
"101","BB141",3
"102","BB84",3
"103","CC123",3
"104","CC86",3
"105","CC97",3
"106","D113",3
"107","D123",3
"108","D125",3
"109","EE128",3
"110","F107",3
"111","F108",3
"112","F119",3
"113","F122",3
"114","FF94",3
"115","GG122",3
"116","GG140",3
"117","HB131",3
"118","HD135",3
"119","HD142",3
"120","HH103",3
"121","HH116",3
"122","HH96",3
"123","II87",3
"124","JJ115",3
"125","JJ140",3
"126","L120",3
"127","LL114",3
"128","N110",3
"129","N113",3
"130","N128",3
"131","N136",3
"132","NN110",3
"133","O120",3
"134","O121",3
"135","O131",3
"136","OO110",3
"137","PP143",3
"138","Q129",3
"139","QQ139",3
"140","QQ140",3
"141","R109",3
"142","R75",3
"143","R83",3
"144","S105",3
"145","S126",3
"146","S134",3
"147","T114",3
"148","T122",3
"149","T132",3
"150","T84",3
"151","T87",3
"152","T88",3
"153","TT133",3
"154","TT140",3
"155","VV133",3
"156","W136",3
"157","W146",3
"158","W91",3
"159","W95",3
"160","WW137",3
"161","X118",3
"162","X138",3
"163","X139",3
"164","Y70",3
"165","YY137",3
"166","Z128",3
"167","Z143",3
"168","Z92",3
"169","ZZ142",3
"170","A128",2
"171","AA116",2
"172","AA141",2
"173","AY124",2
"174","B138",2
"175","BB115",2
"176","BB118",2
"177","BB92",2
"178","C105",2
"179","C125",2
"180","CC138",2
"181","CC99",2
"182","DD100",2
"183","DD112",2
"184","DD114",2
"185","DD130",2
"186","DD83",2
"187","DD86",2
"188","DD90",2
"189","E109",2
"190","EE120",2
"191","EE126",2
"192","EE138",2
"193","F114",2
"194","F129",2
"195","FF117",2
"196","FF123",2
"197","FF91",2
"198","G132",2
"199","G137",2
"200","HA132",2
"201","HB129",2
"202","HC144",2
"203","HE136",2
"204","HH106",2
"205","HH110",2
"206","HH126",2
"207","I133",2
"208","II130",2
"209","II136",2
"210","J133",2
"211","K109",2
"212","KK116",2
"213","KK119",2
"214","KK122",2
"215","KK145",2
"216","L121",2
"217","LL103",2
"218","LL110",2
"219","LL119",2
"220","M118",2
"221","MM114",2
"222","NN118",2
"223","NN126",2
"224","NN136",2
"225","NN145",2
"226","O108",2
"227","OO101",2
"228","OO116",2
"229","OO130",2
"230","P107",2
"231","P138",2
"232","PP102",2
"233","PP146",2
"234","Q122",2
"235","Q96",2
"236","QQ133",2
"237","QQ146",2
"238","R128",2
"239","R79",2
"240","RR113",2
"241","RR129",2
"242","RR138",2
"243","S70",2
"244","S72",2
"245","S75",2
"246","S86",2
"247","S97",2
"248","SS136",2
"249","SS141",2
"250","SS142",2
"251","T75",2
"252","T77",2
"253","TT137",2
"254","U130",2
"255","UU132",2
"256","X125",2
"257","X76",2
"258","XX125",2
"259","XX142",2
"260","Y121",2
"261","YY146",2
"262","Z118",2
"263","A107",1
"264","A117",1
"265","A121",1
"266","A131",1
"267","A133",1
"268","AX132",1
"269","AY122",1
"270","AY130",1
"271","AZ133",1
"272","AZ138",1
"273","B115",1
"274","BB140",1
"275","C111",1
"276","CC144",1
"277","D117",1
"278","D134",1
"279","E111",1
"280","EE106",1
"281","EE108",1
"282","EE132",1
"283","EE140",1
"284","F112",1
"285","F113",1
"286","F134",1
"287","HA147",1
"288","HB130",1
"289","HB136",1
"290","HB141",1
"291","HB143",1
"292","HC135",1
"293","HD134",1
"294","HD136",1
"295","HD143",1
"296","HH147",1
"297","II105",1
"298","II131",1
"299","JJ102",1
"300","JJ105",1
"301","JJ111",1
"302","JJ114",1
"303","K130",1
"304","K137",1
"305","KK101",1
"306","LL104",1
"307","LL133",1
"308","M134",1
"309","N123",1
"310","O105",1
"311","O134",1
"312","O136",1
"313","OO100",1
"314","PP134",1
"315","Q120",1
"316","Q135",1
"317","QQ132",1
"318","RR126",1
"319","SS113",1
"320","TT110",1
"321","TT145",1
"322","U98",1
"323","UU129",1
"324","V134",1
"325","W106",1
"326","W109",1
"327","W132",1
"328","W137",1
"329","W71",1
"330","WW124",1
"331","WW130",1
"332","X110",1
"333","X93",1
"334","Y105",1
"335","Y110",1
"336","Y147",1
"337","Y90",1
"338","Y94",1
"339","Z122",1
"340","ZZ130",1
"341","ZZ132",1
"342","ZZ134",1
