,Date,Sampler,Plot.ID.Number,X6.Letter.Code,Species_Name,DBH.cm,Canopy.Position,Vigor.Class,Notes,Accepted_name
2,5/10/18,"JLL, WS",A116,Salix sp.,Salix sp.,26.3,0,0,,Salix
4,5/10/18,"JLL, WS",A116,Salix sp.,Salix sp.,10.8,O,2,,Salix
70,5/2/18,"BS, WO",A135,PHEAMU,Phellodendron amurense,37.5,S,1,,Phellodendron amurense
149,5/10/18,"JLL, WS",B115,QUEELL,Quercus ellipsoidalis,17.9,D ,1,dominate only tree in vicinity,Quercus ellipsoidalis
233,5/1/18,"WO, SZ",C120,QUEELL,Quercus ellipsoidalis,42.4,C,1,,Quercus ellipsoidalis
239,5/1/18,"WO, SZ",C120,QUEELL,Quercus ellipsoidalis,12.5,I,1,,Quercus ellipsoidalis
567,4/30/18,"JLL, WS",F107,QUEELL,Quercus ellipsoidalis,16.4,I,1,,Quercus ellipsoidalis
568,4/30/18,"JLL, WS",F107,QUEELL,Quercus ellipsoidalis,12.5,I,3,,Quercus ellipsoidalis
726,5/7/18,"PB, SZ",FF91,LIRTUL,Liriodendron tulipifera,32.4,C,3,"girdled, dying",Liriodendron tulipifera
729,5/7/18,"PB, SZ",FF91,LIRTUL,Liriodendron tulipifera,41.5,C,1,,Liriodendron tulipifera
746,4/30/18,"JLL, WS",G109,QUEELL,Quercus ellipsoidalis,14.5,O,1,,Quercus ellipsoidalis
873,5/16/18,PB,HA127,PILPUM,Pilea pumila,40.6,C,3,,Pilea pumila
889,5/15/18,"CB, PB",HA132,Carex sp.,Carex sp.,11.4,I,1,Cordiformis??,Carex
990,5/16/18,"CB, WO",HD142,QUEELL,Quercus ellipsoidalis,18.7,I,1,,Quercus ellipsoidalis
991,5/16/18,"CB, WO",HD142,QUEELL,Quercus ellipsoidalis,25.4,C,1,,Quercus ellipsoidalis
1059,5/8/18,"MO, PB",HH85,Pinus sp.,Pinus sp.,38,S,2,,Pinus
1060,5/8/18,"MO, PB",HH85,Pinus sp.,Pinus sp.,42.6,S,3,,Pinus
1063,5/8/18,"MO, PB",HH87,CLAKEN,Cladastris kentukea,52.9,C,1,,Cladrastis kentukea
1558,5/4/18,"JLL, PB",LL110,PHEAMU,Phellodendron amurense,12.7,S,1,,Phellodendron amurense
1933,5/10/18,"BS, TP",OO146,AMORSPA,AMOSPA,12.6,O,2,,Amorpha
1939,5/10/18,"BS, TP",OO146,AMORSPA,AMOSPA,10,O,2,,Amorpha
1940,5/10/18,"BS, TP",OO146,AMORSPA,AMOSPA,11.5,O,3,,Amorpha
2137,5/9/18,"JLL, WS",QQ132,LONMAA,Lonicera maackii,13.3,O,1,,Lonicera maackii
2423,5/16/18,"BS, WS",SS142,QUEELL,Quercus ellipsoidalis,40.5,O,1,,Quercus ellipsoidalis
2470,5/8/18,"KC, WO",T84,QUEELL,Quercus ellipsoidalis,55.6,C,2,,Quercus ellipsoidalis
2665,5/7/18,"SL, WO",U95,QUEELL,Quercus ellipsoidalis,15,I,2,,Quercus ellipsoidalis
2668,5/7/18,"SL, WO",U95,QUEELL,Quercus ellipsoidalis,10.5,I,1,,Quercus ellipsoidalis
3133,5/7/18,"SL, WO",Y96,QUEELL,Quercus ellipsoidalis,62.8,C,1,confirm,Quercus ellipsoidalis
3134,5/7/18,"SL, WO",Y96,QUEELL,Quercus ellipsoidalis,74.6,C,1,confirm,Quercus ellipsoidalis
3135,5/7/18,"SL, WO",Y96,QUEELL,Quercus ellipsoidalis,19.3,I,1,confirm,Quercus ellipsoidalis
3136,5/7/18,"SL, WO",Y96,QUEELL,Quercus ellipsoidalis,32.7,I,2,confirm,Quercus ellipsoidalis
3215,5/8/18,"JLL, SML",Z76,PICABI,Picea abies,54.6,S,1,Norway spruce Tag #442,Picea abies